English,German
a girl sings into a microphone while other girls watch her,ein mädchen singt in ein mikrofon während ihr ein anderes mädchen zusieht
a man is walking down the sidewalk next to a street,ein mann geht neben einer straße den gehweg entlang
two black dogs running down either side of a paved pathway,zwei schwarze hunde rennen auf beiden seiten eines befestigten weges
a construction guy with his hard hat on is talking on the phone,ein bauarbeiter mit seinem schutzhelm telefoniert
lynyrd skynyrd is performing at a concert,lynyrd skynyrd tritt bei einem konzert auf
man in blue shirt smoking,ein mann in einem blauen oberteil raucht
a man in a sweatshirt with a hat is looking over a bridge at a lake,ein mann in einem sweatshirt und mit mütze schaut über eine brücke an einem see
man with rifle glasses hat in camouflage takes picture next to dog in front of a field,ein mann mit gewehr brille und hut in militärfarbe macht vor einem feld ein bild von sich neben seinem hund
a boy in a yellow hoodie and a girl in a pink outfit play on the beach,ein junge in einem gelben kapuzenpulli und ein mädchen in rosa kleidung spielen am strand
an oriental man with glasses and a colorful vest is walking down the street with a girl with blond-hair,ein orientalisch aussehender mann mit brille und einer farbenfrohen weste geht zusammen mit einem blonden mädchen die straße hinunter
two small dogs run through the grass,zwei kleine hunde laufen durch das gras
this dog is jumping through the water,der hund springt durchs wasser
a boy is standing in a boat holding up a fish to the camera and smiling,ein junge steht in einem boot und hält lächelnd einen fisch in die kamera
two men are in a blue and white speed boat,zwei männer sind auf einem blau-weißen schnellboot
a man wearing a gray hat is playing a violin,ein mann mit einem grauen hut spielt geige
a dog catches a colored ball while standing in the grass,ein hund der im gras steht fängt einen farbigen ball
a man wearing a gladiator costume standing a busy street,ein mann im gladiatorenkostüm steht auf einer belebten straße
a woman crouches on a sink while applying mascara,eine frau kauert an einem waschbecken und trägt wimperntusche auf
a woman eats dinner with her dog as she sits on the couch and there are four lit candles on the table,eine frau sitzt auf dem sofa und isst zusammen mit ihrem hund zu abend während auf dem tisch vier kerzen brennen
prarie dogs that are spotted with brown black and white,braun schwarz und weiß gefleckte hunde in prärie
a man in a hat and coat is talking on the phone next to a building with a sign that is in a foreign language,ein mann mit hut und mantel telefoniert neben einem gebäude mit einem schild in einer fremden sprache
two men dressed as santa clause performing in a park,zwei männer die als weihnachtsmann verkleidet sind treten im park auf
a smiling man in the driver &apos;s seat of an automobile turns to the backseat,ein lächelnder mann auf dem fahrersitz eines autos dreht sich zum rücksitz um
a woman and two little girls playing with hula hoops,eine frau und zwei kleine kinder spielen mit hula-hoop-reifen
a man is suspended in the air on cables while doing some work on a building,ein mann hängt in der luft an kabeln und verrichtet einige arbeiten an einem gebäude
a woman with a panda hat and headphones is in front of a man outside in the snow,eine frau mit einer pandamütze und kopfhörern vor einem mann draußen im schnee
a teacher helping a student at a computer station,ein lehrer hilft einem studenten an einem pc-arbeitsplatz
two boys are playing in the water near an old building and a boat,zwei jungen spielen in der nähe eines alten gebäudes und eines bootes im wasser
a man in a black flees holds ropes on a balcony,ein schwarz gekleideter mann auf einem balkon hält seile fest
a father and son begin a fishing trip in a boat,vater und sohn starten in einem boot zu einem angelausflug
girl with turtleneck sweater and guy with large bushy hairdo wait to cross road,ein mädchen mit rollkragenpullover und ein kerl mit großer buschiger frisur warten darauf die straße zu überqueren
two ladies and a man playing a card game and drinking beer,zwei damen und ein mann die ein kartenspiel spielen und bier trinken
two men work with a ladder in amsterdam,zwei männer arbeiten mit einer leiter in amsterdam
a man at a rodeo is thrown off a horse,ein mann wird von einem pferd bei einem rodeo geworfen
a lady wearing glasses and a blue shirt with a shoulder bag is about to take a picture with her camera,eine dame mit brille blauem rock und einer umhängetasche macht ein foto mit ihrer kamera
a couple taking there dogs on a walk through the park,ein paar und ihre hunde bei einem spaziergang im park
a family is posing with spongebob squarepants,ein familie posiert mit spongebob-schwammkopf
two women tend to some animals,zwei frauen kümmern sich um einige tiere
band on stage and people watching the screen,eine band auf der bühne und leute die auf den bildschirm schauen
dancers in white are performing on a blacked out stage with a pink lighted hue illuminating them,tänzer in weiß führen auf einer verdunkelten bühne auf während ein rosa farbton sie beleuchtet
